,Ones,Zeros,Output
279,10146,90027,0
280,27596,76608,0
281,23784,88394,0
282,4279,76313,0
283,12155,75539,0
284,727,63932,0
285,4032,69253,0
286,4160,66918,0
287,5248,82798,0
288,7308,105037,0
289,12776,86709,0
290,6914,103031,0
291,4629,87438,0
292,3063,68297,0
293,7324,70712,0
294,1644,56398,0
295,3483,126717,0
296,1602,70068,0
297,19323,88348,0
298,3351,72052,0
299,12489,65357,0
300,12727,85287,0
301,8142,91698,0
302,5787,82440,0
303,627,64819,0
304,2303,66403,0
305,2519,64225,0
306,6570,64509,0
307,4361,81361,0
308,3230,67253,0
309,12535,97969,0
310,10323,78796,0
311,1254,63707,0
312,9612,84396,0
313,10111,108660,0
314,5607,58851,0
315,11248,98581,0
316,8899,93192,0
317,10201,97256,0
318,3336,64422,0
319,4801,69327,0
320,23234,87248,0
321,5024,70240,0
322,10280,79124,0
323,3345,69911,0
324,3530,65210,0
325,6806,80756,0
326,6543,79837,0
327,5483,70135,0
328,24343,86907,0
329,19765,74320,0
330,13887,72556,0
331,19647,81882,0
332,12442,59605,0
333,11541,93355,0
334,2691,60777,0
335,10057,71358,0
336,288,69868,0
337,7694,74408,0
338,3461,81183,0
339,3998,63772,0
340,334,96973,0
341,554,66758,0
342,8698,108545,0
343,12902,70010,0
344,2239,62229,0
345,8896,85823,0
346,2311,70379,0
347,24308,74593,0
348,1214,80106,0
349,16392,63835,0
350,12281,88132,0
351,148,70341,0
352,8476,59793,0
353,4689,85206,0
354,21809,72256,0
355,16468,77726,0
356,21579,76404,0
357,11913,80664,0
358,3977,89009,0
359,1825,79475,0
360,8382,99636,0
361,8238,70325,0
362,8505,69357,0
363,12254,77116,0
364,8164,70660,0
365,3180,70678,0
366,7327,78552,0
367,4700,70246,0
368,11596,96438,0
369,3925,67101,0
370,977,52708,0
371,4067,69063,0
372,18988,76753,0
373,9309,64627,0
374,4212,91456,0
375,10858,89607,0
376,5600,65898,0
377,4207,77674,0
378,8459,76483,0
379,3500,115951,0
380,1240,58333,0
381,6423,83889,0
382,2600,74731,0
383,14177,94389,0
384,4239,75560,0
385,7660,76751,0
386,1170,66580,0
387,16387,70138,0
388,13479,82583,0
389,1745,67359,0
390,3738,75622,0
391,5460,65751,0
392,12434,99440,0
393,2500,75593,0
394,13754,88395,0
395,1288,54110,0
396,11047,80998,0
397,6727,78453,0
398,9542,89515,0
399,21905,94332,0
400,11439,97245,0
401,433,73006,0
402,4422,85054,0
403,3875,61616,0
404,10334,94924,0
405,13769,105177,0
406,24657,83727,0
407,4332,64876,0
408,10157,63585,0
409,451,64824,0
410,6577,109746,0
411,9050,80034,0
412,6463,82769,0
413,18717,73544,0
414,3553,80615,0
415,13632,73115,0
416,8256,101866,0
417,14525,90061,0
418,8505,64010,0
419,5854,61138,0
420,1690,71086,0
421,10263,90631,0
422,8450,87053,0
423,4461,62042,0
424,12628,68562,0
425,20547,83839,0
426,8135,101183,0
427,25232,91440,0
428,3911,79309,0
429,11893,78535,0
430,1779,71756,0
431,700,82390,0
432,19848,109535,0
433,12691,77568,0
434,22024,65222,0
435,9234,91928,0
436,12137,73530,0
437,16259,99778,0
438,5101,73285,0
439,1160,81417,0
440,6481,72648,0
441,7209,113257,0
442,2461,66252,0
443,9192,109357,0
444,6732,108973,0
445,588,91036,0
446,10370,108125,0
447,3176,80358,0
448,8182,95485,0
449,535,75819,0
450,7211,116327,0
451,9085,74384,0
452,9082,103425,0
453,1454,89993,0
454,14227,127548,0
455,10233,96324,0
456,14062,85696,0
457,5930,132492,0
458,11087,71306,0
459,19237,93738,0
460,12247,87076,0
461,8437,73636,0
462,11850,72879,0
463,8219,98294,0
464,13049,87727,0
465,2488,108005,0
466,1654,82869,0
467,5102,66062,0
468,21541,87510,0
469,8390,83167,0
470,10638,81611,0
471,10402,107712,0
472,7832,83546,0
473,7666,112269,0
474,994,55886,0
475,4755,92393,0
476,2078,77959,0
477,13218,62874,0
478,54215,274680,0
479,69550,378551,0
480,88130,95931,0
481,13282,60420,0
482,119678,87874,0
483,130738,79520,0
484,219309,92479,0
485,54838,98331,0
486,34770,54831,0
487,97771,125557,0
488,145150,111414,0
489,71170,79924,0
490,76159,92113,0
491,171636,82399,0
492,67589,274412,0
493,90182,103020,0
494,69093,92064,0
495,28081,78123,0
496,171426,93732,0
497,117953,64209,0
498,94340,368943,0
499,109502,93865,0
500,166862,97775,0
501,3679,5198,0
502,211918,80819,0
503,31978,87221,0
504,66142,274291,0
505,94585,113178,0
506,53237,72879,0
507,71500,35110,0
508,32945,250540,0
509,56668,369137,0
510,38251,87648,0
511,97172,349869,0
512,48550,300752,0
513,14688,196359,0
514,155617,64812,0
515,59488,91379,0
516,87890,333347,0
517,155,61437,0
518,146206,101075,0
519,50968,427176,0
520,58401,158501,0
521,16839,93152,0
522,154081,64439,0
523,103404,80418,0
524,106460,200345,0
525,5834,87533,0
526,21983,131136,0
527,34011,76657,0
528,142899,89628,0
529,95537,89759,0
530,132174,104890,0
531,81871,130494,0
532,5485,50347,0
533,24699,87970,0
534,78717,88039,0
535,121032,124578,0
536,25551,198774,0
537,102200,43283,0
538,166613,52213,0
539,126265,330179,0
540,91663,82470,0
541,114153,107528,0
542,57658,48370,0
543,12662,176809,0
544,88802,57812,0
545,85676,422264,0
546,33038,317513,0
547,103181,359792,0
548,59316,90321,0
549,2792,87277,0
550,72209,81601,0
551,76608,92677,0
552,42545,86474,0
553,124817,87022,0
554,5098,9408,0
555,235,21087,0
556,113405,85257,0
557,29008,82138,0
558,61498,83834,0
559,37246,62780,0
560,18175,66748,0
561,50932,73926,0
562,135423,85546,0
563,41444,133339,0
564,31476,62109,0
565,83413,397347,0
566,624,88010,0
567,100142,55587,0
568,131399,322679,0
569,50871,85558,0
570,39775,201373,0
571,68989,60175,0
572,128420,94576,0
573,183684,83138,0
574,2190,159938,0
575,31280,59307,0
576,29970,60682,0
577,52962,33812,0
578,64941,104884,0
579,85430,354902,0
580,12284,65720,0
581,118243,45934,0
582,9998,160762,0
583,46344,56863,0
584,46405,84661,0
585,63585,445132,0
586,35176,299899,0
587,43867,243544,0
588,77152,79611,0
589,26957,83562,0
590,14697,244283,0
591,113357,94297,0
592,61633,293423,0
593,29862,88724,0
594,127152,46064,0
595,107627,316363,0
596,180443,104899,0
597,146917,294313,0
598,135382,95593,0
599,2950,91809,0
600,118368,76020,0
601,52641,383095,0
602,79897,368489,0
603,140705,6676,0
604,62399,424468,0
605,27859,52101,0
606,133499,104447,0
607,168793,116450,0
608,12887,89189,0
609,69898,91208,0
610,8170,53075,0
611,31086,56806,0
612,113932,94494,0
613,123908,79817,0
614,87785,76843,0
615,96061,284855,0
616,4715,29498,0
617,96393,104036,0
618,28787,296078,0
619,142857,92654,0
620,54599,325971,0
621,41770,228405,0
622,15665,239647,0
623,7778,28144,0
624,41468,104560,0
625,81763,98767,0
626,82336,325306,0
627,138651,320824,0
628,242080,90092,0
629,97633,93056,0
630,6260,45464,0
631,45875,92756,0
632,138492,81904,0
633,109142,380460,0
634,124480,73439,0
635,17930,239871,0
636,90575,350412,0
637,66292,172914,0
638,54539,55309,0
639,138375,144945,0
640,32232,58233,0
641,145829,123797,0
642,113679,95018,0
643,50468,134583,0
644,109417,126637,0
645,50210,51947,0
646,52202,410852,0
647,87417,89172,0
648,243170,88650,0
649,25858,93550,0
650,8069,86860,0
651,118675,83013,0
652,52323,89389,0
