index,Blue_Variance,Green_Variance,Red_Variance,Output
0,5990.737601672463,5665.083975539504,5445.205790952965,0
1,5477.964330258602,5343.983283597611,5148.852033606194,0
2,5736.371782172554,4579.4617970978925,3851.242426878788,0
3,4510.075252600701,3680.8929436826775,3134.119304258192,0
4,4597.130902868892,2603.978483450927,1505.299662065964,0
5,3360.1536211433922,4872.592015585683,3976.5563764393296,0
6,4129.235779355309,4944.241405983703,5126.461326253473,0
7,4120.534406839955,5295.459789578555,4835.877629523443,0
8,5305.556415504253,4021.7461648609265,3200.4183905037617,0
9,3294.9287706685936,4175.5731069645335,3621.260764847442,0
10,6143.041386768001,4996.127416364045,4841.8005389829195,0
11,3817.4991565254854,4002.001110532105,3602.9505356737554,0
12,5969.6735803523825,4338.757212987597,3850.0477507108512,0
13,4731.312588466069,5237.2230949528075,4925.09637210882,0
14,6371.381594000872,4396.382024419732,3626.517598687735,0
15,5926.869281326428,4433.035921365152,3657.8564044644304,0
16,5175.129867175642,5081.822192163991,4792.32927506607,0
17,3213.879111240069,3952.777530168858,3591.740102025965,0
18,4842.049644686642,4464.9746686432845,3788.032518685423,0
19,4700.567460056695,3808.4292043175174,3431.698257856486,0
20,5580.730803004601,5053.111221560255,5551.2976889226475,0
21,6174.401857952573,5325.67455023646,4948.225968910057,0
22,4986.599657104235,4733.650331326655,3946.713646663873,0
23,5541.360050380325,5237.8758317041875,4698.415399621825,0
24,4253.208622833325,4103.092659468782,3711.8339484961703,0
25,4057.8804160558434,5661.364963542797,5444.873606639852,0
26,4675.011469822981,4679.11687238219,3895.962883859359,0
27,4478.431343697191,3385.5442985501822,2734.5842520072297,0
28,4251.040876959354,5191.464849695829,5575.861444177733,0
29,4708.365257481471,4486.47480392974,3760.8642360880817,0
30,3269.469408579638,3845.4377222770836,3322.122357793058,0
31,4778.6545473218885,2702.297840793384,1971.4691031490793,0
32,4351.548091322452,4160.499156587329,3823.519615963466,0
33,4808.233718030587,4924.6660702680465,4348.601980325949,0
34,4866.093081102543,3426.945802338473,2571.5667304309573,0
35,5505.162071267705,4290.9894231543985,3771.5055852832393,0
36,6221.335045842975,3855.4071733804167,3184.9186735896774,0
37,6060.181613298715,4944.346285645401,4263.678817003039,0
38,3570.796497778821,4073.9351086021816,3394.803063977349,0
39,5123.726873166224,4320.929632570779,3678.0283911841443,0
40,3545.0812985740154,4359.851397800659,3720.0559316045346,0
41,7672.491604174497,4884.982516634795,3448.6355438518417,0
42,5121.208527786168,4698.019867035086,3822.5566670546773,0
43,4811.27508859019,4094.5656012439895,3390.3583928465646,0
44,4965.325045309319,4822.926183787689,4573.730087617869,0
45,3044.5581869840294,3691.67844573174,3214.141223109553,0
46,6877.072778747283,3598.3792851991475,2772.4381164678916,0
47,3971.3813798942206,5178.755965992538,5009.378849082079,0
48,5437.11466882343,4632.312837858422,4270.575563427121,0
49,4541.885784047864,4571.076277488333,4397.978863632087,0
50,3906.2953735432425,3560.756077280462,2700.348117359018,0
51,4749.913365614149,4241.968249526581,3277.054540486277,0
52,4823.551699960124,3487.326008015554,2706.059193601022,0
53,5099.55857598531,3064.7773713260344,2820.42881430597,0
54,5519.473182920319,4771.227166145924,4543.214049501399,0
55,5765.193830287133,4532.346820766755,3563.7171563753673,0
56,4397.405003750293,5714.4889379179,5996.562979955401,0
57,4055.738099057965,2551.2627607891877,2122.496467729733,0
58,4777.552695565201,4787.840715297331,3921.144415186449,0
59,3697.753154443761,3829.1427310790395,2941.847210395766,0
60,3302.8794413653313,4971.970932328966,4633.7152888662495,0
61,5667.387422774335,4068.261046894053,2918.6703522418716,0
62,5783.170757608972,4759.479561097497,4443.945105779752,0
63,6031.4481845023465,5155.295226944638,3828.25818959372,0
64,4039.1632792738924,4815.4794033455555,4250.633928753418,0
65,6048.80060116484,4385.331204657583,3837.5249809798843,0
66,4712.176690580051,4621.993010377725,3873.8097137149757,0
67,6537.051566071874,4745.89393523974,4234.118840176768,0
68,6640.537156976562,4516.656587019347,4052.466475055812,0
69,6202.303332006664,4628.0409704721715,4719.148320099632,0
70,3654.225110917374,4734.941251076047,3489.9936349381187,0
71,3985.0690549781,3885.111232650797,2917.177269730425,0
72,3802.6824841571793,4089.9057247041455,3459.1727010698105,0
73,3592.4869516712565,3221.1480612856067,2909.597372170228,0
74,4930.222151993279,4920.641509864034,4738.846531156847,0
75,4973.689972797441,5407.294800263027,3759.9705575322378,0
76,4939.455614836678,4362.472569159775,3904.142291344793,0
