,Blue_Variance,Green_Variance,Red_Variance,Output,Var_,Amount,Pixel,Angle
0,2950.507268968933,4667.649545088258,4248.990377332691,0,0.010074347242109066,0.001,3.0,177.70626145200242
1,3186.239336055738,3709.082487293127,3587.5071917520645,0,0.0960286472317193,0.001,3.0,162.19460555765994
2,6467.938827159657,4039.242837489384,3325.362267804977,0,0.07741457142659587,0.001,3.0,140.50540397219297
3,3391.251389865304,4958.610126048473,4555.403416938889,0,0.0292053346861593,0.001,3.0,167.07007860541495
4,3989.7080453584654,4212.149836806427,3583.686230455349,0,0.03193259721368189,0.001,3.0,120.16080627940798
5,5978.108611152828,3612.2771649647098,2654.277591805437,0,0.01326801258181872,0.001,3.0,10.990660044922333
6,3417.207290466005,5031.319899691358,4587.5367197817595,0,0.08325799064985312,0.001,3.0,125.89705984433373
7,4035.289117981426,4545.030700197901,3928.3646203171397,0,0.06949806875253821,0.001,3.0,174.78719705740576
8,2959.1299462258444,4909.6340228379795,4500.754954387167,0,0.0775711112168339,0.001,3.0,99.93399189448947
9,3976.980574916792,4274.288197440798,3464.653683089892,0,0.04527818318379406,0.001,3.0,59.95728207381771
10,4516.024152962433,4834.282760547068,4131.415786461985,0,0.09223677535418752,0.001,3.0,147.38248794018205
11,3253.4228873880647,3910.2484956444223,3573.364801998246,0,0.007458117311349499,0.001,3.0,17.46619295172693
12,3692.4084821158935,4581.165872022696,4004.4168558825354,0,0.06533096792368806,0.001,3.0,128.8677003381709
13,1107.378881858677,2738.243407837243,2252.3318241483876,0,0.02408621479115304,0.001,3.0,35.13212652014552
14,3147.2520906449877,4691.051032858147,3580.509715625424,0,0.06386276900704731,0.001,3.0,163.27236644036643
15,4247.556581430382,5077.62475095961,4835.102879268027,0,0.04460994045982729,0.001,3.0,107.32170704967687
16,4760.414996851815,4716.321425780668,4188.950533232926,0,0.07832355601965543,0.001,3.0,170.88315454057445
17,4327.8386582990215,5733.163253150922,5926.454310876613,0,0.09204566280612159,0.001,3.0,114.78689001992286
18,6460.458206251406,3663.0241782106,3258.901646318401,0,0.0067372424792522005,0.001,3.0,123.83210637331526
19,4113.437324746487,5025.294146635436,4441.153858475495,0,0.07305410811517372,0.001,3.0,22.277261662897885
20,6001.318353270176,3042.856294295746,2391.740528035588,0,0.028237491258775997,0.001,3.0,20.496132396557137
21,5633.950080667706,4608.630367804162,4701.703512619982,0,0.0017574567237158352,0.001,3.0,67.73683560562806
22,3665.833303163763,4519.106936471988,3983.7172237128834,0,0.09155461718479009,0.001,3.0,30.538920317040358
23,5286.399615717079,4576.996249117519,3637.0032015568354,0,0.07390431469675389,0.001,3.0,113.71372830875714
24,4831.246393336334,4285.722121742572,3599.5592685526253,0,0.08379745135729488,0.001,3.0,30.37420773488512
25,2821.943959261413,3910.9093281611167,3426.525100564257,0,0.03881659733937038,0.001,3.0,81.26599757315681
26,3947.9706794007343,5153.072783543041,4734.800377791844,0,0.056044188281803305,0.001,3.0,97.50755042436968
27,4660.631074295778,4632.473057254273,4290.8116006480195,0,0.04856228614864745,0.001,3.0,27.288511546218317
28,3008.645210050516,4370.885320923777,3180.01379930889,0,0.0880325135941611,0.001,3.0,159.7878117375097
29,4962.002480883187,4570.24441865058,3948.3933716899414,0,0.09921104593252623,0.001,3.0,133.2479830494274
30,4697.6399401470335,4935.495877724054,4053.3267702511625,0,0.055077570206397926,0.001,3.0,20.183842413084896
31,4508.571592652813,4284.663038140488,3296.9644735637717,0,0.001756416700422818,0.001,3.0,10.736076131774794
32,2752.677719100576,4724.523341410236,4413.772782734634,0,0.004203335700116754,0.001,3.0,67.56833117001472
33,6221.194813349821,4814.1776934586305,4406.234733494796,0,0.05760890800393733,0.001,3.0,150.43795999416815
34,4886.56083930782,3772.45007158993,2848.0733982156294,0,0.0498680194009239,0.001,3.0,166.4283935008283
35,4846.050414064783,4156.206309217353,3273.007364486883,0,0.05179695214873733,0.001,3.0,72.04786720851172
36,3069.517669822106,4412.231508449117,4212.85921934256,0,0.0645900291528587,0.001,3.0,29.174138278342554
37,4151.9622834239835,4848.012234798474,4444.373497535952,0,0.07608588094292114,0.001,3.0,150.75791341688424
38,6091.657939042313,5421.0784256922825,4510.4370308254665,0,0.07968351230721334,0.001,3.0,152.22069165838354
39,5623.317428362107,5352.382209624106,5000.798574083948,0,0.08276252893772484,0.001,3.0,121.2297733755739
40,6043.171801603612,4877.3230819134915,2895.3031657503625,0,0.08349620003463037,0.001,3.0,84.5952373896511
41,2375.6790095436063,3839.5045897261643,4278.232311020369,0,0.01832362730891009,0.001,3.0,9.935045139323137
42,5525.055072972448,4230.190013675926,3644.504350921579,0,0.06250211113562554,0.001,3.0,145.16384958639415
43,3344.1997187170437,4506.4472082479015,3749.1414444943675,0,0.003867075292151814,0.001,3.0,12.066029072749378
44,5248.398954718086,4011.8211316143093,3222.1518994407616,0,0.0637005211512274,0.001,3.0,69.44384373347613
45,4152.697680146831,4799.998589878579,3537.0976924020274,0,0.0164772546169439,0.001,3.0,29.378499871691414
46,3535.4281473180135,5021.997215722264,4647.38134581719,0,0.005379194828153992,0.001,3.0,75.73319073045563
47,3030.423694045246,4621.399321951951,4292.008361069491,0,0.014676281027527986,0.001,3.0,24.437766590337986
48,4583.164762391746,4447.114437888532,3608.196957898825,0,0.03821968540362579,0.001,3.0,119.31570467922256
49,4616.824321277876,4419.84338270901,3460.085587331461,0,0.05856205457746729,0.001,3.0,22.31207259695016
50,5465.306061831411,4086.4245965944506,2967.3900966649458,0,0.06628772472370952,0.001,3.0,131.56600099911697
51,3524.4857728440084,4729.799889276008,4044.0296473613375,0,0.07455084144757174,0.001,3.0,27.782430652611342
52,3994.172504957024,4072.7432783199165,3317.3667766359054,0,0.04974836300776254,0.001,3.0,130.70020620787196
53,2936.111160619055,4589.1131129360865,4688.360664973422,0,0.01607793126182873,0.001,3.0,26.48326041313355
54,4252.525170360502,4165.804591209761,3445.6067714748497,0,0.07597173761700221,0.001,3.0,107.37796250962873
55,5752.315899263558,4775.975222997026,4124.035977127913,0,0.02509114987816746,0.001,3.0,38.22908424990822
56,4843.630890692961,3367.7194158308957,2836.6743758792413,0,0.005359271224180736,0.001,3.0,105.60945778901628
57,2778.6484520066588,3419.6835811083847,2703.6527332334113,0,0.07121497806412246,0.001,3.0,8.089250019174878
58,6113.52203631847,4177.034813021228,3624.035968934268,0,0.05174447476611238,0.001,3.0,77.5187409645729
59,2295.563722492033,4248.887761940445,4154.1709428254135,0,0.009843901848318928,0.001,3.0,119.70897101987451
60,4608.827972301586,5176.596592040141,5040.968366241799,0,0.0940008484043946,0.001,3.0,145.70292635919637
